capability_id,capability_es,descripcion_es
CAP-01,Comité Directivo de Seguridad y Privacidad,"La alta dirección supervisa formalmente la seguridad y privacidad, garantizando rendición de cuentas."
CAP-02,Marco de Seguridad de la Información,Un marco formal guía la implementación del programa de seguridad de la información.
CAP-03,Autoridad Delegada para Incidentes,Existen roles con autoridad delegada para responder rápidamente ante incidentes.
CAP-04,Personal de Seguridad Capacitado,El programa cuenta con profesionales de seguridad capacitados que ejecutan las actividades de protección.
CAP-05,Coordinación de Seguridad Interdepartamental,Las áreas coordinan sus actividades de seguridad para evitar vacíos de cobertura.
CAP-06,Roles de Seguridad Definidos,Cada puesto de seguridad tiene roles y responsabilidades claramente documentados.
CAP-07,Estrategia de Seguridad de la Dirección,La alta dirección define y respalda la estrategia y dirección del programa de seguridad.
CAP-08,Cumplimiento de Seguridad y Privacidad,El programa apoya el cumplimiento normativo y los requisitos de negocio en seguridad y privacidad.
CAP-09,Defensoría de Políticas de Seguridad,Un grupo designado atiende disputas y quejas sobre las políticas y estándares de seguridad.
CAP-10,Monitoreo de Tendencias Regulatorias,Se vigilan autoridades externas y tendencias de la industria para anticipar cambios en políticas.
CAP-11,Gestión de Incumplimientos de Política,"Los incumplimientos de política se documentan, reconocen y revisan periódicamente."
CAP-12,Políticas de Seguridad Alineadas al Negocio,"Las políticas de seguridad se definen, implementan y mantienen alineadas a las leyes y al negocio."
CAP-13,Auditoría de Cumplimiento en Sistemas Críticos,El cumplimiento de seguridad en sistemas y redes críticos se revisa periódicamente.
CAP-14,Autoevaluación del Programa de Seguridad,La efectividad del programa se autoevalúa y reporta periódicamente a la dirección.
CAP-15,Verificación Periódica de Controles,Se verifica periódicamente que los controles de seguridad sean razonables y apropiados.
CAP-16,Verificación de Controles de Terceros,Se verifican los controles de terceros que acceden a información confidencial.
CAP-17,Gestión de Riesgos de Acceso a la Información,Un programa de identificación y tratamiento de riesgos protege el acceso y uso de información confidencial.
CAP-18,Aceptación de Riesgos Residuales,Los dueños del riesgo reconocen formalmente los resultados de las evaluaciones y los riesgos residuales.
CAP-19,Evaluación de Riesgos en Sistemas Críticos,"Se evalúan periódicamente los riesgos de todas las aplicaciones, sistemas y redes críticas."
CAP-20,Reporte de Riesgos a la Dirección,Las condiciones de riesgo del programa se reportan a la alta dirección para su decisión.
CAP-21,Política de Privacidad en Línea,La política de privacidad en línea y los términos de uso están definidos y mantenidos.
CAP-22,Controles de Privacidad,Se definen e implementan controles y responsabilidades para la privacidad de la información.
CAP-23,Minimización y Retención de Datos,"La información confidencial se limita al mínimo necesario, se anonimiza y se elimina cuando ya no es necesaria."
CAP-24,Programa de Privacidad Coordinado,El programa de privacidad se define e implementa en cooperación con el Oficial de Privacidad.
CAP-25,Gestión de Incidentes,Existe un proceso formal para gestionar incidentes de seguridad de la información.
CAP-26,Red de Expertos en Incidentes,"Se mantienen relaciones con terceros, expertos y grupos de investigación de incidentes."
CAP-27,Investigación Forense,Existen capacidades forenses para investigar incidentes y preservar evidencia.
CAP-28,Respuesta y Documentación de Incidentes,"Los incidentes se identifican, responden, mitigan y documentan de manera formal."
CAP-29,Colaboración Comunitaria,La organización colabora con otras organizaciones y su comunidad para fortalecer la seguridad.
